,States you forgot
0,jammu and kashmir
1,himachal pradesh
2,punjab
3,uttarakhand
4,haryana
5,chandigarh
6,delhi
7,uttar pradesh
8,rajasthan
9,gujarat
10,maharashtra
11,madhya pradesh
12,bihar
13,jharkhand
14,west bengal
15,odisha
16,andhra pradesh
17,kerala
18,tamil nadu
19,lakshadweep
20,andaman and nicobar islands
21,daman and diu
22,dadra and nagar haveli
23,sikkim
24,assam
25,meghalaya
26,arunachal pradesh
27,nagaland
28,manipur
29,mizoram
30,tripura
31,meghalaya
32,chhattisgarh
33,puducherry
